observation_date,CP0000USM086NEST_PC1
2015-01-01,-0.94434
2015-02-01,-0.87026
2015-03-01,-0.93310
2015-04-01,-1.12726
2015-05-01,-0.91590
2015-06-01,-0.75691
2015-07-01,-0.70866
2015-08-01,-0.69102
2015-09-01,-1.01658
2015-10-01,-0.75322
2015-11-01,-0.31971
2015-12-01,-0.04029
2016-01-01,0.78093
2016-02-01,0.30272
2016-03-01,0.10020
2016-04-01,0.45005
2016-05-01,0.26836
2016-06-01,0.24762
2016-07-01,0.00991
2016-08-01,0.29821
2016-09-01,0.80766
2016-10-01,1.01857
2016-11-01,1.06244
2016-12-01,1.55164
2017-01-01,2.14350
2017-02-01,2.46479
2017-03-01,2.01201
2017-04-01,1.81203
2017-05-01,1.42744
2017-06-01,1.12637
2017-07-01,1.25880
2017-08-01,1.52626
2017-09-01,1.94857
2017-10-01,1.68051
2017-11-01,1.92403
2017-12-01,1.77597
2018-01-01,1.70443
2018-02-01,1.90476
2018-03-01,2.06064
2018-04-01,2.16116
2018-05-01,2.58014
2018-06-01,2.67709
2018-07-01,2.78974
2018-08-01,2.48926
2018-09-01,1.95013
2018-10-01,2.28466
2018-11-01,1.82933
2018-12-01,1.53051
2019-01-01,1.07527
2019-02-01,1.00202
2019-03-01,1.44217
2019-04-01,1.59855
2019-05-01,1.33384
2019-06-01,1.14188
2019-07-01,1.36178
2019-08-01,1.28584
2019-09-01,1.21812
2019-10-01,1.31166
2019-11-01,1.69135
2019-12-01,1.98752
2020-01-01,2.22350
2020-02-01,2.05094
2020-03-01,1.04256
2020-04-01,-0.47108
2020-05-01,-0.74276
2020-06-01,0.00000
2020-07-01,0.45096
2020-08-01,0.90276
2020-09-01,1.03422
2020-10-01,0.79745
2020-11-01,0.85510
2020-12-01,1.12973
2021-01-01,1.21883
2021-02-01,1.57039
2021-03-01,2.80461
2021-04-01,4.79932
2021-05-01,5.87288
2021-06-01,6.31292
2021-07-01,6.24766
2021-08-01,6.06710
2021-09-01,6.14182
2021-10-01,7.14818
2021-11-01,7.79838
2021-12-01,8.00596
2022-01-01,8.50315
2022-02-01,8.94533
2022-03-01,9.75365
2022-04-01,9.30359
2022-05-01,9.62691
2022-06-01,10.13274
2022-07-01,9.33099
2022-08-01,8.84808
2022-09-01,8.65334
2022-10-01,8.00035
2022-11-01,7.09594
2022-12-01,6.12825
2023-01-01,5.95015
2023-02-01,5.33874
2023-03-01,3.86566
2023-04-01,3.81787
2023-05-01,2.66873
2023-06-01,1.36601
2023-07-01,1.67472
2023-08-01,2.47013
2023-09-01,2.57403
2023-10-01,2.12338
2023-11-01,2.08216
2023-12-01,2.46081
2024-01-01,2.26412
2024-02-01,2.23737
2024-03-01,2.44117
2024-04-01,2.02977
2024-05-01,1.95548
2024-06-01,1.84701
2024-07-01,1.71840
2024-08-01,1.31558
2024-09-01,1.64412
2024-10-01,1.93747
2024-11-01,2.34801
2024-12-01,2.62365
